code,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,v_ma5,v_ma10,v_ma20,turnover
000005,2017-08-11,4.82,4.83,4.76,4.75,55722.97,-0.07,-1.45,4.848,4.891,41822.54,49033.46,52216.79,0.59
000005,2017-08-14,4.75,4.84,4.8,4.75,46641.16,0.04,0.84,4.83,4.877,44216.71,49844.75,48953.38,0.49
000005,2017-08-15,4.8,4.83,4.81,4.78,40159.28,0.01,0.21,4.816,4.862,44857.27,46517.12,48647.23,0.42
000005,2017-08-16,4.81,4.84,4.82,4.76,42034.03,0.01,0.21,4.804,4.851,46612.55,44407.23,48524.27,0.44
000005,2017-08-17,4.83,4.87,4.86,4.81,58917.47,0.04,0.83,4.81,4.843,48694.98,44845.36,48982.19,0.62
000005,2017-08-18,4.84,4.88,4.87,4.8,51924.27,0.01,0.21,4.832,4.84,47935.24,44878.89,49753.5,0.55
000005,2017-08-21,4.86,4.9,4.89,4.85,58059.12,0.02,0.41,4.85,4.84,50218.83,47217.77,51180.86,0.61
000005,2017-08-22,4.89,4.89,4.83,4.82,47945.4,-0.06,-1.23,4.854,4.835,51776.06,48316.66,51869.6,0.5
000005,2017-08-23,4.83,4.85,4.81,4.79,37169.5,-0.02,-0.41,4.852,4.828,50803.15,48707.85,49333.68,0.39
000005,2017-08-24,4.84,5.05,4.87,4.84,157380.48,0.06,1.25,4.854,4.832,70495.75,59595.37,53451.09,1.65
000005,2017-08-25,4.81,4.87,4.87,4.76,88463.24,0.0,0.0,4.854,4.843,77803.55,62869.4,55951.43,0.93
000005,2017-08-28,4.86,4.89,4.88,4.83,90392.45,0.01,0.2,4.852,4.851,84270.21,67244.52,58544.64,0.95
000005,2017-08-29,4.88,4.91,4.89,4.86,70120.84,0.01,0.2,4.864,4.859,88705.3,70240.68,58378.9,0.74
000005,2017-08-30,4.92,4.95,4.89,4.88,88334.24,0.0,0.0,4.88,4.866,98938.25,74870.7,59638.96,0.93
000005,2017-08-31,4.89,4.91,4.89,4.85,51920.09,0.0,0.0,4.884,4.869,77846.17,74170.96,59508.16,0.55
000005,2017-09-01,4.89,4.89,4.87,4.85,45271.9,-0.02,-0.41,4.884,4.869,69207.9,73505.73,59192.31,0.48
000005,2017-09-04,4.87,4.89,4.86,4.85,58185.25,-0.01,-0.2,4.88,4.866,62766.46,73518.34,60368.06,0.61
000005,2017-09-05,4.86,4.88,4.87,4.85,75551.33,0.01,0.21,4.876,4.87,63852.56,76278.93,62297.8,0.79
000005,2017-09-06,4.86,4.91,4.9,4.84,83135.19,0.03,0.62,4.878,4.879,62812.75,80875.5,64791.68,0.87
000005,2017-09-07,4.9,4.94,4.9,4.88,97443.51,0.0,0.0,4.88,4.882,71917.44,74881.8,67238.59,1.02
000005,2017-09-08,4.89,5.39,5.39,4.87,645502.5,0.49,10.0,4.984,4.934,191963.56,130585.73,96727.56,6.79
000005,2017-09-11,5.45,5.7,5.53,5.35,752149.06,0.14,2.6,5.118,4.999,330756.32,196761.39,132002.96,7.91
000005,2017-09-12,5.48,5.75,5.33,5.3,715830.31,-0.2,-3.62,5.21,5.043,458812.11,261332.34,165786.51,7.53
000005,2017-09-13,5.23,5.38,5.25,5.23,298810.88,-0.08,-1.5,5.28,5.079,501947.25,282380.0,178625.35,3.14
000005,2017-09-14,5.25,5.34,5.2,5.17,210313.41,-0.05,-0.95,5.34,5.11,524521.23,298219.33,186195.15,2.21
000005,2017-09-15,5.18,5.3,5.23,5.18,182670.59,0.03,0.58,5.308,5.146,431954.85,311959.2,192732.46,1.92
000005,2017-09-18,5.21,5.29,5.25,5.18,140114.2,0.02,0.38,5.252,5.185,309547.88,320152.1,196835.22,1.47
000005,2017-09-19,5.25,5.47,5.34,5.21,279301.44,0.09,1.71,5.254,5.232,222242.1,340527.11,208403.02,2.94
000005,2017-09-20,5.3,5.33,5.29,5.22,153149.05,-0.05,-0.94,5.262,5.271,193109.74,347528.5,214202.0,1.61
000005,2017-09-21,5.29,5.29,5.16,5.16,134269.0,-0.13,-2.46,5.254,5.297,177900.86,351211.04,213046.42,1.41
000005,2017-09-22,5.2,5.2,5.12,5.1,85135.07,-0.04,-0.78,5.232,5.27,158393.75,295174.3,212880.02,0.9
000005,2017-09-25,5.09,5.09,5.05,5.03,92891.75,-0.07,-1.37,5.192,5.222,148949.26,229248.57,213004.98,0.98
000005,2017-09-26,5.05,5.06,5.04,5.0,59866.43,-0.01,-0.2,5.132,5.193,105062.26,163652.18,212492.26,0.63
000005,2017-09-27,5.03,5.1,5.09,5.03,63034.57,0.05,0.99,5.092,5.177,87039.36,140074.55,211227.28,0.66
000005,2017-09-28,5.09,5.09,5.01,5.0,64555.93,-0.08,-1.57,5.062,5.158,73096.75,125498.8,211859.07,0.68
000005,2017-09-29,5.01,5.08,5.05,5.01,55655.94,0.04,0.8,5.048,5.14,67200.92,112797.34,212378.27,0.59
000005,2017-10-09,5.08,5.12,5.08,5.06,69803.23,0.03,0.59,5.054,5.123,62583.22,105766.24,212959.17,0.73
000005,2017-10-10,5.08,5.12,5.1,5.04,98293.8,0.02,0.39,5.066,5.099,70268.69,87665.48,214096.29,1.03
000005,2017-10-11,5.11,5.16,5.16,5.08,105574.18,0.06,1.18,5.08,5.086,78776.62,82907.99,215218.24,1.11
000005,2017-10-12,5.16,5.19,5.08,5.06,91924.97,-0.08,-1.55,5.094,5.078,84250.42,78673.59,214942.32,0.97
